chapter_id,chapter_name,chapter_index,normal_stage_count,boss_count,total_encounter_count,global_encounter_index,stage_index_in_chapter,encounter_id,encounter_name,encounter_type,target_score,expected_growth_multiplier,max_rolls,max_cheats,base_reward_gold,roll_bonus_gold,cheat_bonus_gold,rule_kind,rule_text,balance_note
chapter_01,第一章,1,3,1,4,1,1,1-1,1-1 柜台试投,normal,14,0.67,1,0,3,0,0,None,无额外规则，检查基础输出,V0.2第二轮降压曲线：降低单次低点淘汰与前两章卡点，待Play Mode样本复核
chapter_01,第一章,1,3,1,4,2,2,1-2,1-2 账房抽查,normal,18,0.86,1,0,3,0,0,OddLedger,奇数结果更有利，鼓励奇偶控制,V0.2第二轮降压曲线：降低单次低点淘汰与前两章卡点，待Play Mode样本复核
chapter_01,第一章,1,3,1,4,3,3,1-3,1-3 印章复核,normal,19,0.90,1,0,3,0,0,None,无额外规则，牌型已关闭,V0.2第二轮降压曲线：降低单次低点淘汰与前两章卡点，待Play Mode样本复核
chapter_01,第一章,1,3,1,4,4,4,1-boss,1-boss 第1章总审,boss,21,1.00,1,0,3,0,0,DoubleJudge,偶数+1奇数-1,V0.2第二轮降压曲线：降低单次低点淘汰与前两章卡点，待Play Mode样本复核
chapter_02,第二章,2,3,1,4,5,1,2-1,2-1 柜台试投,normal,20,0.95,1,0,3,0,0,None,无额外规则，检查基础输出,V0.2第二轮降压曲线：降低单次低点淘汰与前两章卡点，待Play Mode样本复核
chapter_02,第二章,2,3,1,4,6,2,2-2,2-2 账房抽查,normal,22,1.05,1,0,3,0,0,LowFog,1点和2点单骰分-1,V0.2第二轮降压曲线：降低单次低点淘汰与前两章卡点，待Play Mode样本复核
chapter_02,第二章,2,3,1,4,7,3,2-3,2-3 印章复核,normal,27,1.29,1,0,3,0,0,None,无额外规则，牌型已关闭,V0.2第二轮降压曲线：降低单次低点淘汰与前两章卡点，待Play Mode样本复核
chapter_02,第二章,2,3,1,4,8,4,2-boss,2-boss 第2章总审,boss,32,1.52,1,0,3,0,0,DoubleJudge,偶数+1奇数-1,V0.2第二轮降压曲线：降低单次低点淘汰与前两章卡点，待Play Mode样本复核
chapter_03,第三章,3,3,1,4,9,1,3-1,3-1 柜台试投,normal,31,1.48,1,0,3,0,0,OddLedger,奇数结果更有利，鼓励奇偶控制,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_03,第三章,3,3,1,4,10,2,3-2,3-2 账房抽查,normal,34,1.62,1,0,3,0,0,None,无额外规则，检查基础输出,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_03,第三章,3,3,1,4,11,3,3-3,3-3 印章复核,normal,38,1.81,1,0,3,0,0,LowFog,1点和2点单骰分-1,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_03,第三章,3,3,1,4,12,4,3-boss,3-boss 第3章总审,boss,46,2.19,1,0,3,0,0,DoubleJudge,偶数+1奇数-1,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_04,第四章,4,3,1,4,13,1,4-1,4-1 柜台试投,normal,42,2.00,1,0,3,0,0,None,无额外规则，牌型已关闭,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_04,第四章,4,3,1,4,14,2,4-2,4-2 账房抽查,normal,52,2.48,1,0,3,0,0,OddLedger,奇数结果更有利，鼓励奇偶控制,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_04,第四章,4,3,1,4,15,3,4-3,4-3 印章复核,normal,57,2.71,1,0,3,0,0,None,无额外规则，检查基础输出,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_04,第四章,4,3,1,4,16,4,4-boss,4-boss 第4章总审,boss,67,3.19,1,0,3,0,0,DoubleJudge,偶数+1奇数-1,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_05,第五章,5,3,1,4,17,1,5-1,5-1 柜台试投,normal,62,2.95,1,0,3,0,0,None,无额外规则，检查基础输出,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_05,第五章,5,3,1,4,18,2,5-2,5-2 账房抽查,normal,75,3.57,1,0,3,0,0,OddLedger,奇数结果更有利，鼓励奇偶控制,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_05,第五章,5,3,1,4,19,3,5-3,5-3 印章复核,normal,83,3.95,1,0,3,0,0,None,无额外规则，牌型已关闭,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_05,第五章,5,3,1,4,20,4,5-boss,5-boss 第5章总审,boss,98,4.67,1,0,3,0,0,DoubleJudge,偶数+1奇数-1,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_06,第六章,6,3,1,4,21,1,6-1,6-1 柜台试投,normal,89,4.24,1,0,3,0,0,None,无额外规则，检查基础输出,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_06,第六章,6,3,1,4,22,2,6-2,6-2 账房抽查,normal,102,4.86,1,0,3,0,0,LowFog,1点和2点单骰分-1,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_06,第六章,6,3,1,4,23,3,6-3,6-3 印章复核,normal,120,5.71,1,0,3,0,0,None,无额外规则，牌型已关闭,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_06,第六章,6,3,1,4,24,4,6-boss,6-boss 第6章总审,boss,140,6.67,1,0,3,0,0,DoubleJudge,偶数+1奇数-1,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_07,第七章,7,3,1,4,25,1,7-1,7-1 柜台试投,normal,132,6.29,1,0,3,0,0,OddLedger,奇数结果更有利，鼓励奇偶控制,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_07,第七章,7,3,1,4,26,2,7-2,7-2 账房抽查,normal,152,7.24,1,0,3,0,0,None,无额外规则，检查基础输出,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_07,第七章,7,3,1,4,27,3,7-3,7-3 印章复核,normal,173,8.24,1,0,3,0,0,LowFog,1点和2点单骰分-1,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_07,第七章,7,3,1,4,28,4,7-boss,7-boss 第7章总审,boss,203,9.67,1,0,3,0,0,DoubleJudge,偶数+1奇数-1,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_08,第八章,8,3,1,4,29,1,8-1,8-1 柜台试投,normal,188,8.95,1,0,3,0,0,None,无额外规则，牌型已关闭,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_08,第八章,8,3,1,4,30,2,8-2,8-2 账房抽查,normal,223,10.62,1,0,3,0,0,OddLedger,奇数结果更有利，鼓励奇偶控制,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_08,第八章,8,3,1,4,31,3,8-3,8-3 印章复核,normal,252,12.00,1,0,3,0,0,None,无额外规则，检查基础输出,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_08,第八章,8,3,1,4,32,4,8-boss,8-boss 第8章总审,boss,293,13.95,1,0,3,0,0,DoubleJudge,偶数+1奇数-1,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_09,第九章,9,3,1,4,33,1,9-1,9-1 柜台试投,normal,272,12.95,1,0,3,0,0,None,无额外规则，检查基础输出,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_09,第九章,9,3,1,4,34,2,9-2,9-2 账房抽查,normal,321,15.29,1,0,3,0,0,OddLedger,奇数结果更有利，鼓励奇偶控制,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_09,第九章,9,3,1,4,35,3,9-3,9-3 印章复核,normal,367,17.48,1,0,3,0,0,None,无额外规则，牌型已关闭,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_09,第九章,9,3,1,4,36,4,9-boss,9-boss 第9章总审,boss,426,20.29,1,0,3,0,0,DoubleJudge,偶数+1奇数-1,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_10,第十章,10,3,1,4,37,1,10-1,10-1 柜台试投,normal,395,18.81,1,0,3,0,0,None,无额外规则，检查基础输出,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_10,第十章,10,3,1,4,38,2,10-2,10-2 账房抽查,normal,460,21.90,1,0,3,0,0,LowFog,1点和2点单骰分-1,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_10,第十章,10,3,1,4,39,3,10-3,10-3 印章复核,normal,530,25.24,1,0,3,0,0,None,无额外规则，牌型已关闭,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
chapter_10,第十章,10,3,1,4,40,4,10-boss,10-boss 第10章总审,boss,616,29.33,1,0,3,0,0,DoubleJudge,偶数+1奇数-1,V0.2第二轮降压曲线：整体下调约8%-10%，保留章内加压与成长要求，待Play Mode样本复核
